Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
2,CJÿAbrams*,21,2TM,90,302,-9,-1,1,-5,4,-9,-0.9,10,1,0.489,0.497,0.6,-0.1,6,abramcj01,CJÿAbrams*,CJÿAbrams,CJÿAbrams,cjabrams
3,AlbertÿAbreu,26,3TM,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,abreual01,AlbertÿAbreu,AlbertÿAbreu,AlbertÿAbreu,albertabreu
5,Jos‚ÿAbreu,35,CHW,157,679,28,1,-2,1,-9,20,2.1,23,42,0.513,0.513,4.2,-0.9,41,abreujo02,JoseÿAbreu,JoseÿAbreu,JoseÿAbreu,joseabreu
7,RonaldÿAcu¤aÿJr.,24,ATL,119,533,9,5,0,0,-5,8,1,17,25,0.507,0.505,2.5,-0.5,25,acunaro01,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr,ronaldacunajr
9,WillyÿAdames,26,MIL,139,617,5,-1,0,9,8,22,2.4,20,42,0.517,0.514,3.3,1.9,33,adamewi01,WillyÿAdames,WillyÿAdames,WillyÿAdames,willyadames
11,RileyÿAdams,26,WSN,48,155,-6,-2,0,0,3,-5,-0.5,5,1,0.49,0.497,0,0.3,1,adamsri03,RileyÿAdams,RileyÿAdams,RileyÿAdams,rileyadams
12,JoÿAdell,23,LAA,88,285,-8,-1,-1,-1,-3,-14,-1.5,10,-4,0.483,0.491,-0.4,-0.5,-3,adelljo01,JoÿAdell,JoÿAdell,JoÿAdell,joadell
14,EhireÿAdrianza#,32,2TM,37,110,-8,0,1,-1,0,-8,-0.8,4,-4,0.477,0.496,-0.4,-0.1,-3,adriaeh01,EhireÿAdrianza#,EhireÿAdrianza,EhireÿAdrianza,ehireadrianza
15,Jes£sÿAguilar,32,2TM,129,507,-9,-2,-2,-4,-8,-25,-2.6,17,-8,0.479,0.487,-0.6,-1.3,-4,aguilje01,JesusÿAguilar,JesusÿAguilar,JesusÿAguilar,jesusaguilar
16,RyanÿAguilar*,27,LAA,7,26,-2,0,0,-1,0,-4,-0.4,1,-3,0.44,0.497,-0.2,-0.1,-2,aguilry01,RyanÿAguilar*,RyanÿAguilar,RyanÿAguilar,ryanaguilar
17,NickÿAhmed,32,ARI,17,54,0,0,0,-3,1,-2,-0.2,2,-1,0.485,0.498,0.2,-0.2,2,ahmedni01,NickÿAhmed,NickÿAhmed,NickÿAhmed,nickahmed
19,HanserÿAlberto,29,LAD,73,159,-4,-1,-1,1,1,-4,-0.4,5,1,0.494,0.497,-0.1,0.2,0,alberha01,HanserÿAlberto,HanserÿAlberto,HanserÿAlberto,hanseralberto
20,OzzieÿAlbies#,25,ATL,64,269,-4,0,2,-1,2,-1,-0.1,9,8,0.498,0.499,0.9,0.1,9,albieoz01,OzzieÿAlbies#,OzzieÿAlbies,OzzieÿAlbies,ozziealbies
23,SergioÿAlc ntara#,25,2TM,93,224,-7,0,0,-4,3,-8,-0.8,8,-1,0.491,0.497,0.3,-0.1,4,alcanse01,SergioÿAlcantara#,SergioÿAlcantara,SergioÿAlcantara,sergioalcantara
25,ScottÿAlexander*,32,SFG,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,alexasc02,ScottÿAlexander*,ScottÿAlexander,ScottÿAlexander,scottalexander
28,JorgeÿAlfaro,29,SDP,82,274,-4,1,0,-2,4,-2,-0.1,9,8,0.498,0.499,1,0.2,10,alfarjo01,JorgeÿAlfaro,JorgeÿAlfaro,JorgeÿAlfaro,jorgealfaro
29,AnthonyÿAlford,27,PIT,2,4,0,0,0,0,0,0,-0.1,0,0,0.476,0.5,0,0,0,alforan01,AnthonyÿAlford,AnthonyÿAlford,AnthonyÿAlford,anthonyalford
32,AustinÿAllen*,28,OAK,5,16,-2,0,0,2,0,0,0,1,0,0.495,0.5,-0.2,0.3,-2,allenau01,AustinÿAllen*,AustinÿAllen,AustinÿAllen,austinallen
33,GregÿAllen#,29,PIT,46,134,-7,2,0,2,-1,-5,-0.5,5,0,0.489,0.497,-0.3,0.1,-2,allengr01,GregÿAllen#,GregÿAllen,GregÿAllen,gregallen
35,NickÿAllen,23,OAK,100,326,-14,-1,0,10,5,0,0,11,12,0.5,0.5,0.1,1.6,2,allenni02,NickÿAllen,NickÿAllen,NickÿAllen,nickallen
36,AbrahamÿAlmonte#,33,BOS,15,37,0,1,0,-2,0,-1,-0.2,1,0,0.49,0.499,0.2,-0.2,2,almonab01,AbrahamÿAlmonte#,AbrahamÿAlmonte,AbrahamÿAlmonte,abrahamalmonte
38,AlbertÿAlmora,28,CIN,64,235,-8,-1,0,8,-1,-2,-0.2,8,6,0.497,0.499,-0.3,0.8,-2,almoral01,AlbertÿAlmora,AlbertÿAlmora,AlbertÿAlmora,albertalmora
39,PeteÿAlonso,27,NYM,160,685,32,-1,0,-2,-9,21,2.3,23,44,0.513,0.513,4.6,-1.1,46,alonspe01,PeteÿAlonso,PeteÿAlonso,PeteÿAlonso,petealonso
40,JoseÿAltuve,32,HOU,141,604,41,2,-2,-15,4,31,3.2,20,52,0.523,0.52,6.9,-1.2,67,altuvjo01,JoseÿAltuve,JoseÿAltuve,JoseÿAltuve,josealtuve
41,Jos‚ÿAlvarado*,27,PHI,1,1,0,0,0,0,0,0,0,0,0,0.49,0.5,0,0,0,alvarjo03,JoseÿAlvarado*,JoseÿAlvarado,JoseÿAlvarado,josealvarado
42,EddyÿAlvarez*,32,LAD,14,27,-4,0,0,-1,0,-5,-0.6,1,-4,0.46,0.497,-0.4,-0.1,-3,alvared01,EddyÿAlvarez*,EddyÿAlvarez,EddyÿAlvarez,eddyalvarez
43,FranciscoÿAlvarez,20,NYM,5,14,0,0,0,0,0,0,0,0,0,0.496,0.5,0,0,0,alvarfr01,FranciscoÿAlvarez,FranciscoÿAlvarez,FranciscoÿAlvarez,franciscoalvarez
46,YordanÿAlvarez*,25,HOU,135,561,51,0,-1,5,-8,47,5,19,66,0.537,0.531,6.4,-0.4,61,alvaryo01,YordanÿAlvarez*,YordanÿAlvarez,YordanÿAlvarez,yordanalvarez
48,BrianÿAnderson,29,MIA,98,383,-5,0,0,-2,-1,-8,-0.8,13,5,0.491,0.494,0.6,-0.3,7,anderbr06,BrianÿAnderson,BrianÿAnderson,BrianÿAnderson,briananderson
52,TimÿAnderson,29,CHW,79,351,2,3,-1,-7,5,2,0.2,11,14,0.503,0.501,2.1,-0.3,21,anderti01,TimÿAnderson,TimÿAnderson,TimÿAnderson,timanderson
53,TylerÿAnderson*,32,LAD,2,1,0,0,0,0,0,0,0,0,0,0.495,0.5,0,0,0,anderty01,TylerÿAnderson*,TylerÿAnderson,TylerÿAnderson,tyleranderson
54,ElvisÿAndrus,33,2TM,149,577,4,5,-1,-4,8,12,1.3,19,32,0.509,0.503,3.7,0.4,36,andruel01,ElvisÿAndrus,ElvisÿAndrus,ElvisÿAndrus,elvisandrus
55,MiguelÿAndujar,27,2TM,36,140,-5,0,0,3,-2,-3,-0.3,5,2,0.49,0.499,-0.2,0.1,-1,andujmi01,MiguelÿAndujar,MiguelÿAndujar,MiguelÿAndujar,miguelandujar
56,MarkÿAppel,30,PHI,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,appelma01,MarkÿAppel,MarkÿAppel,MarkÿAppel,markappel
57,AristidesÿAquino,28,CIN,80,276,-12,-2,2,20,-3,5,0.6,9,14,0.506,0.503,-0.7,1.9,-6,aquinar01,AristidesÿAquino,AristidesÿAquino,AristidesÿAquino,aristidesaquino
58,JonathanÿAranda*,24,TBR,32,87,-3,0,0,-1,0,-4,-0.5,3,-1,0.485,0.497,-0.1,-0.2,0,arandjo01,JonathanÿAranda*,JonathanÿAranda,JonathanÿAranda,jonathanaranda
60,JonathanÿAra£z#,23,2TM,15,41,-5,0,0,-2,0,-6,-0.6,1,-4,0.46,0.498,-0.3,-0.2,-2,arauzjo01,JonathanÿArauz#,JonathanÿArauz,JonathanÿArauz,jonathanarauz
62,OrlandoÿArcia,27,ATL,67,234,1,1,-1,-3,1,-1,-0.1,8,7,0.498,0.499,1,-0.2,10,arciaor01,OrlandoÿArcia,OrlandoÿArcia,OrlandoÿArcia,orlandoarcia
63,NolanÿArenado,31,STL,148,620,35,0,-1,19,2,54,5.7,21,75,0.538,0.535,5.7,2.3,56,arenano01,NolanÿArenado,NolanÿArenado,NolanÿArenado,nolanarenado
64,GabrielÿArias,22,CLE,16,57,0,1,0,-2,0,0,0,2,2,0.498,0.5,0.4,-0.2,4,ariasga01,GabrielÿArias,GabrielÿArias,GabrielÿArias,gabrielarias
67,RandyÿArozarena,27,TBR,153,645,18,-1,0,-5,-6,6,0.6,22,28,0.504,0.504,3.3,-1.3,33,arozara01,RandyÿArozarena,RandyÿArozarena,RandyÿArozarena,randyarozarena
68,LuisÿArr ez*,25,MIN,144,603,21,-2,1,5,-5,21,2.2,21,41,0.515,0.514,3.7,0,36,arraelu01,LuisÿArraez*,LuisÿArraez,LuisÿArraez,luisarraez
69,ChristianÿArroyo,27,BOS,87,300,0,-3,0,-1,1,-3,-0.3,10,7,0.497,0.498,0.8,-0.1,8,arroych01,ChristianÿArroyo,ChristianÿArroyo,ChristianÿArroyo,christianarroyo
73,WilliansÿAstudillo,30,MIA,21,55,-3,0,0,-5,0,-8,-0.8,2,-6,0.461,0.495,-0.2,-0.5,-1,astudwi01,WilliansÿAstudillo,WilliansÿAstudillo,WilliansÿAstudillo,williansastudillo
75,Jos‚ÿAzocar,26,SDP,98,216,-5,-2,0,3,-2,-6,-0.7,7,1,0.493,0.496,-0.3,0.1,-2,azocajo01,JoseÿAzocar,JoseÿAzocar,JoseÿAzocar,joseazocar
76,AkilÿBaddoo*,23,DET,73,225,-8,0,1,6,-1,-4,-0.4,8,4,0.495,0.498,-0.3,0.5,-2,baddoak01,AkilÿBaddoo*,AkilÿBaddoo,AkilÿBaddoo,akilbaddoo
77,HarrisonÿBader,28,2TM,86,313,-5,3,0,-1,2,0,0,11,11,0.5,0.501,1.1,0.2,12,baderha01,HarrisonÿBader,HarrisonÿBader,HarrisonÿBader,harrisonbader
78,JiÿHwanÿBae*,22,PIT,10,37,2,1,0,0,0,4,0.4,1,5,0.536,0.502,0.5,0,5,baeji01,JiÿHwanÿBae*,JiÿHwanÿBae,JiÿHwanÿBae,jihwanbae
79,JavierÿB ez,29,DET,144,590,-3,4,0,-4,7,4,0.4,20,24,0.503,0.503,2.9,0.3,28,baezja01,JavierÿBaez,JavierÿBaez,JavierÿBaez,javierbaez
85,RylanÿBannon,26,2TM,5,15,-1,0,0,-1,0,-2,-0.2,1,-2,0.456,0.499,-0.1,-0.1,-1,bannory01,RylanÿBannon,RylanÿBannon,RylanÿBannon,rylanbannon
87,DanielÿBard,37,COL,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bardda01,DanielÿBard,DanielÿBard,DanielÿBard,danielbard
90,JoeÿBarlow,26,TEX,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,barlojo01,JoeÿBarlow,JoeÿBarlow,JoeÿBarlow,joebarlow
91,ScottÿBarlow,29,KCR,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,barlosc01,ScottÿBarlow,ScottÿBarlow,ScottÿBarlow,scottbarlow
92,AustinÿBarnes,32,LAD,62,212,-1,-1,0,-1,3,0,0.1,7,8,0.5,0.5,0.8,0.3,8,barneau01,AustinÿBarnes,AustinÿBarnes,AustinÿBarnes,austinbarnes
95,TuckerÿBarnhart*,31,DET,94,308,-13,0,-1,-3,6,-11,-1.2,11,0,0.488,0.493,0.2,0.3,3,barnhtu01,TuckerÿBarnhart*,TuckerÿBarnhart,TuckerÿBarnhart,tuckerbarnhart
97,LuisÿBarrera*,26,OAK,32,85,-1,0,0,2,-1,0,0,3,3,0.499,0.5,0,0.1,1,barrelu01,LuisÿBarrera*,LuisÿBarrera,LuisÿBarrera,luisbarrera
98,TresÿBarrera,27,WSN,19,53,-5,0,0,-1,1,-5,-0.6,2,-3,0.47,0.497,-0.3,0,-2,barretr01,TresÿBarrera,TresÿBarrera,TresÿBarrera,tresbarrera
99,JoseÿBarrero,24,CIN,48,174,-20,0,0,-2,3,-20,-2.1,6,-14,0.455,0.487,-1.4,0.1,-12,garcijo02,JoseÿBarrero,JoseÿBarrero,JoseÿBarrero,josebarrero
101,JoeyÿBart,25,SFG,97,291,-4,-1,0,-1,6,-2,-0.1,10,9,0.498,0.499,0.9,0.5,9,bartjo01,JoeyÿBart,JoeyÿBart,JoeyÿBart,joeybart
102,AnthonyÿBass,34,2TM,1,0,0,0,0,0,0,0,0,0,0,0.493,0.5,0,0,0,bassan01,AnthonyÿBass,AnthonyÿBass,AnthonyÿBass,anthonybass
104,MatthewÿBatten,27,SDP,15,22,-2,0,1,0,0,-2,-0.2,1,-1,0.489,0.499,-0.1,0,-1,battema01,MatthewÿBatten,MatthewÿBatten,MatthewÿBatten,matthewbatten
105,BrettÿBaty*,22,NYM,11,42,-2,0,1,-3,0,-4,-0.4,1,-3,0.46,0.497,0,-0.3,0,batybr01,BrettÿBaty*,BrettÿBaty,BrettÿBaty,brettbaty
107,F‚lixÿBautista,27,BAL,4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bautife01,FelixÿBautista,FelixÿBautista,FelixÿBautista,felixbautista
111,MattÿBeaty*,29,SDP,20,47,-6,0,0,-1,-1,-8,-0.8,2,-6,0.458,0.495,-0.6,-0.2,-5,beatyma01,MattÿBeaty*,MattÿBeaty,MattÿBeaty,mattbeaty
112,TimÿBeckham,32,MIN,12,25,-5,0,0,0,-1,-6,-0.6,1,-5,0.448,0.496,-0.6,-0.1,-5,beckhti01,TimÿBeckham,TimÿBeckham,TimÿBeckham,timbeckham
113,DavidÿBednar*,27,PIT,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bednada01,DavidÿBednar*,DavidÿBednar,DavidÿBednar,davidbednar
116,SethÿBeer*,25,ARI,38,126,-8,-1,0,-1,-3,-13,-1.4,4,-9,0.464,0.491,-0.9,-0.4,-8,beerse01,SethÿBeer*,SethÿBeer,SethÿBeer,sethbeer
117,JoshÿBell#,29,2TM,156,647,23,-3,-3,-1,-9,7,0.8,22,29,0.505,0.505,3,-1,30,belljo02,JoshÿBell#,JoshÿBell,JoshÿBell,joshbell
118,AndrewÿBellatti,30,PHI,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bellaan01,AndrewÿBellatti,AndrewÿBellatti,AndrewÿBellatti,andrewbellatti
119,CodyÿBellinger*,26,LAD,144,550,-12,3,1,0,4,-4,-0.3,19,15,0.497,0.497,1.4,0.5,15,bellico01,CodyÿBellinger*,CodyÿBellinger,CodyÿBellinger,codybellinger
121,BrandonÿBelt*,34,SFG,78,298,-2,1,-2,2,-4,-5,-0.5,10,5,0.493,0.496,0.2,-0.2,3,beltbr01,BrandonÿBelt*,BrandonÿBelt,BrandonÿBelt,brandonbelt
122,AnthonyÿBemboom*,32,BAL,22,59,-5,0,0,0,1,-4,-0.5,2,-2,0.479,0.497,-0.3,0.1,-2,bemboan01,AnthonyÿBemboom*,AnthonyÿBemboom,AnthonyÿBemboom,anthonybemboom
124,AndrewÿBenintendi*,27,2TM,126,521,14,1,0,2,-4,14,1.4,18,31,0.512,0.506,3,-0.3,29,beninan01,AndrewÿBenintendi*,AndrewÿBenintendi,AndrewÿBenintendi,andrewbenintendi
125,WillÿBenson*,24,CLE,28,61,-4,-1,0,0,0,-5,-0.5,2,-3,0.481,0.497,-0.3,0,-3,bensowi01,WillÿBenson*,WillÿBenson,WillÿBenson,willbenson
126,WyntonÿBernard,31,COL,12,42,-2,0,0,1,0,-1,-0.1,1,1,0.494,0.5,-0.1,0.1,0,bernawy01,WyntonÿBernard,WyntonÿBernard,WyntonÿBernard,wyntonbernard
129,JonÿBerti,32,MIA,102,404,-2,5,2,3,2,10,1.1,14,24,0.51,0.507,2.1,0.6,21,bertijo01,JonÿBerti,JonÿBerti,JonÿBerti,jonberti
130,ChristianÿBethancourt,30,2TM,100,333,1,-1,-1,0,1,-1,-0.1,11,11,0.499,0.499,1,0,11,bethach01,ChristianÿBethancourt,ChristianÿBethancourt,ChristianÿBethancourt,christianbethancourt
131,MookieÿBetts,29,LAD,142,639,32,2,1,15,-4,45,4.8,20,66,0.533,0.529,5.1,1.2,50,bettsmo01,MookieÿBetts,MookieÿBetts,MookieÿBetts,mookiebetts
132,BoÿBichette,24,TOR,159,697,25,-3,-1,-16,9,14,1.5,23,37,0.509,0.509,5.5,-0.8,53,bichebo01,BoÿBichette,BoÿBichette,BoÿBichette,bobichette
133,PhilÿBickford,26,LAD,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bickfph01,PhilÿBickford,PhilÿBickford,PhilÿBickford,philbickford
136,CavanÿBiggio*,27,TOR,97,303,-2,0,1,2,-1,0,-0.1,10,10,0.5,0.5,0.8,0.1,8,biggica01,CavanÿBiggio*,CavanÿBiggio,CavanÿBiggio,cavanbiggio
140,CharlieÿBlackmon*,35,COL,135,577,-5,-1,2,-6,-8,-19,-2,19,0,0.485,0.487,0.5,-1.5,6,blackch02,CharlieÿBlackmon*,CharlieÿBlackmon,CharlieÿBlackmon,charlieblackmon
141,DaironÿBlanco,29,KCR,5,7,0,0,0,0,0,0,0,0,0,0.503,0.5,0,0,0,blancda02,DaironÿBlanco,DaironÿBlanco,DaironÿBlanco,daironblanco
143,TravisÿBlankenhorn*,25,NYM,1,3,-1,0,0,0,0,-1,-0.1,0,-1,0.404,0.499,-0.1,0,-1,blanktr01,TravisÿBlankenhorn*,TravisÿBlankenhorn,TravisÿBlankenhorn,travisblankenhorn
144,JJÿBleday*,24,MIA,65,238,-10,1,-1,-3,0,-13,-1.3,8,-5,0.479,0.492,-0.3,-0.3,-2,bledajj01,JJÿBleday*,JJÿBleday,JJÿBleday,jjbleday
145,RichardÿBleier*,35,MIA,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bleieri01,RichardÿBleier*,RichardÿBleier,RichardÿBleier,richardbleier
146,XanderÿBogaerts,29,BOS,150,631,21,2,-1,5,8,36,3.8,22,58,0.526,0.524,5.4,1.4,53,bogaexa01,XanderÿBogaerts,XanderÿBogaerts,XanderÿBogaerts,xanderbogaerts
147,AlecÿBohm,25,PHI,152,631,4,0,-1,-17,2,-12,-1.1,22,10,0.492,0.492,2.7,-1.5,27,bohmal01,AlecÿBohm,AlecÿBohm,AlecÿBohm,alecbohm
148,RonaldÿBola¤os,25,KCR,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bolanro01,RonaldÿBolanos,RonaldÿBolanos,RonaldÿBolanos,ronaldbolanos
149,SkyeÿBolt#,28,OAK,42,116,-4,0,0,-3,1,-6,-0.6,4,-2,0.485,0.496,0.1,-0.3,1,boltsk01,SkyeÿBolt#,SkyeÿBolt,SkyeÿBolt,skyebolt
151,DavidÿBote,29,CHC,41,127,0,0,-1,4,1,4,0.4,4,8,0.51,0.503,0.4,0.5,4,boteda01,DavidÿBote,DavidÿBote,DavidÿBote,davidbote
152,SeanÿBouchard,26,COL,27,97,7,-1,0,1,-1,6,0.6,3,9,0.523,0.504,0.8,0,8,bouchse01,SeanÿBouchard,SeanÿBouchard,SeanÿBouchard,seanbouchard
158,BobbyÿBradley*,26,CLE,8,17,-3,0,0,-1,0,-4,-0.4,1,-3,0.445,0.497,-0.3,-0.1,-2,bradlbo01,BobbyÿBradley*,BobbyÿBradley,BobbyÿBradley,bobbybradley
159,JackieÿBradleyÿJr.*,32,2TM,131,370,-19,-2,2,5,-2,-16,-1.8,13,-3,0.487,0.493,-1,0.3,-8,bradlja02,JackieÿBradleyÿJr.*,JackieÿBradleyÿJr.,JackieÿBradleyÿJr,jackiebradleyjr
160,MichaelÿBrantley*,35,HOU,64,277,7,-1,0,2,-4,4,0.4,9,13,0.507,0.503,1.1,-0.2,11,brantmi02,MichaelÿBrantley*,MichaelÿBrantley,MichaelÿBrantley,michaelbrantley
161,RobÿBrantly*,32,NYY,1,3,0,0,0,0,0,0,0,0,0,0.534,0.5,0,0,0,brantro01,RobÿBrantly*,RobÿBrantly,RobÿBrantly,robbrantly
162,MattÿBrash,24,SEA,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,brashma01,MattÿBrash,MattÿBrash,MattÿBrash,mattbrash
167,AlexÿBregman,28,HOU,155,656,24,0,-1,-4,4,23,2.4,22,45,0.516,0.515,5.1,0,49,bregmal01,AlexÿBregman,AlexÿBregman,AlexÿBregman,alexbregman
168,WillÿBrennan*,24,CLE,11,45,3,0,0,0,0,3,0.3,2,4,0.527,0.502,0.4,0,4,brennwi02,WillÿBrennan*,WillÿBrennan,WillÿBrennan,willbrennan
171,JonahÿBride,26,OAK,58,187,-7,0,-1,2,1,-4,-0.5,6,2,0.492,0.497,0,0.3,0,bridejo01,JonahÿBride,JonahÿBride,JonahÿBride,jonahbride
174,LewisÿBrinson,28,SFG,16,39,-1,0,0,-3,0,-3,-0.3,1,-2,0.479,0.498,0.1,-0.3,1,brinsle01,LewisÿBrinson,LewisÿBrinson,LewisÿBrinson,lewisbrinson
178,MikeÿBrosseau,28,MIL,69,160,4,0,0,-6,1,-1,0,5,5,0.499,0.5,1.1,-0.5,11,brossmi01,MikeÿBrosseau,MikeÿBrosseau,MikeÿBrosseau,mikebrosseau
180,SethÿBrown*,29,OAK,150,555,9,2,1,-6,-7,0,0,19,19,0.5,0.5,2.5,-1.4,25,brownse01,SethÿBrown*,SethÿBrown,SethÿBrown,sethbrown
182,JustinÿBruihl*,25,LAD,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bruihju01,JustinÿBruihl*,JustinÿBruihl,JustinÿBruihl,justinbruihl
183,VidalÿBruj n#,24,TBR,52,162,-10,-1,0,1,0,-10,-1.1,6,-5,0.479,0.493,-0.7,0.1,-6,brujavi01,VidalÿBrujan#,VidalÿBrujan,VidalÿBrujan,vidalbrujan
184,KrisÿBryant,30,COL,42,181,6,0,-1,-5,-2,-2,-0.1,6,5,0.496,0.499,0.9,-0.7,9,bryankr01,KrisÿBryant,KrisÿBryant,KrisÿBryant,krisbryant
188,AaronÿBummer*,28,CHW,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,bummeaa01,AaronÿBummer*,AaronÿBummer,AaronÿBummer,aaronbummer
190,PeytonÿBurdick,25,MIA,32,102,-2,0,0,-2,0,-5,-0.5,3,-1,0.485,0.497,0.1,-0.2,1,burdipe01,PeytonÿBurdick,PeytonÿBurdick,PeytonÿBurdick,peytonburdick
191,JakeÿBurger,26,CHW,51,183,1,-1,-1,-5,0,-6,-0.6,6,1,0.488,0.496,0.5,-0.5,5,burgeja01,JakeÿBurger,JakeÿBurger,JakeÿBurger,jakeburger
193,AlecÿBurleson*,23,STL,16,53,-1,0,0,0,-1,-2,-0.2,2,0,0.487,0.499,0,-0.1,0,burleal01,AlecÿBurleson*,AlecÿBurleson,AlecÿBurleson,alecburleson
198,ByronÿBuxton,28,MIN,92,382,16,1,1,8,-1,25,2.7,13,38,0.529,0.516,3.1,0.7,30,buxtoby01,ByronÿBuxton,ByronÿBuxton,ByronÿBuxton,byronbuxton
201,MiguelÿCabrera,39,DET,112,433,-10,-2,-2,0,-9,-23,-2.6,15,-9,0.477,0.484,-1.1,-1.1,-9,cabremi01,MiguelÿCabrera,MiguelÿCabrera,MiguelÿCabrera,miguelcabrera
202,OswaldoÿCabrera#,23,NYY,44,171,1,-1,0,13,-1,13,1.4,6,18,0.532,0.509,0.5,1.3,5,cabreos01,OswaldoÿCabrera#,OswaldoÿCabrera,OswaldoÿCabrera,oswaldocabrera
203,LorenzoÿCain,36,MIL,43,156,-12,0,0,3,1,-7,-0.8,5,-2,0.482,0.495,-0.6,0.5,-5,cainlo01,LorenzoÿCain,LorenzoÿCain,LorenzoÿCain,lorenzocain
204,KoleÿCalhoun*,34,TEX,125,424,-19,-1,0,-3,-5,-27,-3,14,-13,0.476,0.481,-1.3,-1,-10,calhoko01,KoleÿCalhoun*,KoleÿCalhoun,KoleÿCalhoun,kolecalhoun
205,WillieÿCalhoun*,27,2TM,22,62,-3,0,0,0,-2,-5,-0.6,2,-3,0.474,0.498,-0.4,-0.2,-3,calhowi01,WillieÿCalhoun*,WillieÿCalhoun,WillieÿCalhoun,williecalhoun
206,AlexÿCall,27,2TM,47,131,2,-2,0,-1,-1,-2,-0.1,4,3,0.497,0.499,0.4,-0.2,4,callal02,AlexÿCall,AlexÿCall,AlexÿCall,alexcall
207,JohanÿCamargo#,28,PHI,52,166,-5,0,1,-1,2,-5,-0.4,6,1,0.491,0.497,0.2,0.1,2,camarjo01,JohanÿCamargo#,JohanÿCamargo,JohanÿCamargo,johancamargo
208,DazÿCameron,25,DET,21,70,-2,0,0,0,0,-2,-0.2,2,0,0.489,0.499,0,0,0,camerda01,DazÿCameron,DazÿCameron,DazÿCameron,dazcameron
209,LuisÿCampusano,23,SDP,16,50,-2,0,0,-1,0,-4,-0.4,2,-2,0.476,0.498,-0.1,-0.1,-1,campulu01,LuisÿCampusano,LuisÿCampusano,LuisÿCampusano,luiscampusano
210,JeimerÿCandelario#,28,DET,124,467,-10,-1,0,-1,2,-10,-1.1,16,6,0.492,0.493,0.6,0.1,7,candeje01,JeimerÿCandelario#,JeimerÿCandelario,JeimerÿCandelario,jeimercandelario
211,MarkÿCanha,33,NYM,140,542,15,-2,1,-4,-4,6,0.7,19,25,0.505,0.504,2.9,-0.8,29,canhama01,MarkÿCanha,MarkÿCanha,MarkÿCanha,markcanha
212,RobinsonÿCan¢*,39,3TM,33,104,-12,-1,0,-5,0,-17,-1.8,4,-14,0.444,0.496,-1,-0.5,-9,canoro01,RobinsonÿCano*,RobinsonÿCano,RobinsonÿCano,robinsoncano
214,ConnerÿCapel*,25,2TM,22,59,3,-1,0,-2,-1,-1,-0.1,2,1,0.496,0.5,0.3,-0.3,3,capelco01,ConnerÿCapel*,ConnerÿCapel,ConnerÿCapel,connercapel
215,VinnyÿCapra,25,TOR,8,7,0,0,0,0,0,0,0,0,0,0.502,0.5,0.1,0,0,capravi01,VinnyÿCapra,VinnyÿCapra,VinnyÿCapra,vinnycapra
216,VictorÿCaratini#,28,MIL,95,314,-6,-1,-1,-2,6,-5,-0.5,11,6,0.495,0.497,0.7,0.4,8,caratvi01,VictorÿCaratini#,VictorÿCaratini,VictorÿCaratini,victorcaratini
217,DylanÿCarlson#,23,STL,128,488,-1,2,0,1,0,2,0.3,17,19,0.502,0.501,1.7,0.1,18,carlsdy01,DylanÿCarlson#,DylanÿCarlson,DylanÿCarlson,dylancarlson
219,KerryÿCarpenter*,24,DET,31,113,3,0,0,-1,-2,1,0.1,4,5,0.502,0.5,0.6,-0.3,6,carpeke01,KerryÿCarpenter*,KerryÿCarpenter,KerryÿCarpenter,kerrycarpenter
220,MattÿCarpenter*,36,NYY,47,154,20,0,0,0,-2,18,1.8,5,23,0.539,0.511,2.4,-0.3,23,carpema01,MattÿCarpenter*,MattÿCarpenter,MattÿCarpenter,mattcarpenter
222,CorbinÿCarroll*,21,ARI,32,115,4,0,0,4,-1,7,0.8,4,11,0.523,0.505,0.7,0.3,7,carroco02,CorbinÿCarroll*,CorbinÿCarroll,CorbinÿCarroll,corbincarroll
223,CurtÿCasali,33,2TM,57,176,-1,0,0,5,3,7,0.8,6,13,0.514,0.503,0.8,0.9,8,casalcu01,CurtÿCasali,CurtÿCasali,CurtÿCasali,curtcasali
